,所在地,土地面積,私道面積,建物面積,建物構造
98791476,北九州市若松区東二島４丁目11-9  ,公簿534.91㎡ / 約161.81坪,50㎡（負担割合:1/3）,89.25㎡ / 約27.00坪,木造
98877628,うきは市吉井町富永2518-1 (地番[2518-1])  ,実測488.99㎡ / 約147.92坪,,213.96㎡ / 約64.72坪,木造（一部：鉄骨造）
98791296,朝倉市古毛562-2  ,公簿220.04㎡ / 約66.56坪,,119.2㎡ / 約36.06坪,木造
98694970,北九州市八幡西区高江１丁目7-7 (地番[2730－4])  ,158.34㎡ / 約47.90坪,,75.81㎡(１階:75.81㎡ ) / 約22.93坪,木造
98676903,朝倉市一木339-43  ,公簿254.74㎡ / 約77.06坪,,113.89㎡(１階:77.45㎡ ２階:36.44㎡ ) / 約34.45坪,木造
98781086,うきは市吉井町45-1、45-2  ,公簿1150.57㎡ / 約348.05坪,,162.3㎡(１階:125.04㎡ ２階:37.26㎡ ) / 約49.10坪,木造
98692278,朝倉市甘木1920-4  ,公簿207.07㎡ / 約62.64坪,,61.98㎡ / 約18.75坪,木造
98868932,北九州市若松区大池町14-31  ,公簿157.96㎡ / 約47.78坪,,95.87㎡(１階:66.69㎡ ２階:29.18㎡ ) / 約29.00坪,木造
98800911,北九州市八幡西区香月西１丁目8-6  ,公簿129.93㎡ / 約39.30坪,,97.07㎡ / 約29.36坪,木造
98693115,朝倉市杷木志波60-2  ,公簿170.25㎡ / 約51.50坪,,77.93㎡ / 約23.57坪,木造
98808039,朝倉郡筑前町中牟田134-11 (地番[１３４－１１])  ,公簿195.22㎡ / 約59.05坪,,93.86㎡(１階:68.59㎡ ２階:25.27㎡ ) / 約28.39坪,木造
98801422,北九州市若松区大谷町18-2  ,公簿290.74㎡ / 約87.95坪,,98.77㎡(１階:98.77㎡ ) / 約29.88坪,木造
98817533,北九州市若松区小石本村町1-73 (地番[1-50])  ,公簿246.79㎡ / 約74.65坪,,99.24㎡(１階:71.31㎡ ２階:27.93㎡ ) / 約30.02坪,木造
98693881,朝倉市甘木1452-22  ,公簿143.28㎡ / 約43.34坪,,86.94㎡ / 約26.30坪,木造
98712282,朝倉市甘木1672-2  ,公簿176.25㎡ / 約53.32坪,,125.81㎡ / 約38.06坪,木造
98834524,朝倉市荷原1825-1  ,公簿705.54㎡ / 約213.43坪,,140.88㎡ / 約42.62坪,木造
98885456,田川郡福智町神崎1056-55  ,公簿380.26㎡ / 約115.03坪,,77.33㎡(１階:77.33㎡ ) / 約23.39坪,木造
98722758,北九州市八幡西区南八千代町8-28 (地番[27-2])  ,公簿194.99㎡ / 約58.98坪,,88.23㎡ / 約26.69坪,木造
98819875,遠賀郡岡垣町高陽台３丁目17-10 (地番[392-171])  ,公簿331.53㎡ / 約100.29坪,,111.65㎡(１階:111.65㎡ ) / 約33.77坪,木造
98822501,朝倉市杷木星丸  ,公簿1150.5㎡ / 約348.03坪,,190.9㎡(１階:161.98㎡ ２階:28.92㎡ ) / 約57.75坪,木造
98846127,田川郡川崎町大字川崎880-2 (地番[880番2])  ,公簿100.57㎡ / 約30.42坪,,52.99㎡ / 約16.03坪,木造
98812776,田川郡福智町伊方1913-1  ,1571.42㎡ / 約475.36坪,,108.88㎡(１階:72.21㎡ ２階:36.67㎡ ) / 約32.94坪,木造
98822563,朝倉市杷木志波4873-2  ,公簿1467.75㎡ / 約444.00坪,,137.11㎡ / 約41.48坪,木造
98864465,久留米市本町17-5 (地番[17-5])  ,公簿100.72㎡ / 約30.47坪,,61.98㎡(１階:41.32㎡ ２階:20.66㎡ ) / 約18.75坪,木造
